epr_fidelity,teleport_fidelity,theory,abs_dev_from_theory,stderr,shots
0.25,0.53,0.5,0.030000000000000027,0.015782902141241326,1000
0.35,0.589,0.5666666666666667,0.022333333333333316,0.015558888135082147,1000
0.45,0.654,0.6333333333333333,0.020666666666666722,0.015042739112276061,1000
0.55,0.703,0.7000000000000001,0.0029999999999998916,0.014449602070645405,1000
0.65,0.772,0.7666666666666666,0.005333333333333412,0.013267102170406315,1000
0.75,0.836,0.8333333333333334,0.002666666666666595,0.011709141727727102,1000
0.85,0.893,0.9,0.007000000000000006,0.009775019181566856,1000
0.95,0.968,0.9666666666666667,0.0013333333333332975,0.005565608681896351,1000
1.0,1.0,1.0,0.0,0.0,1000
